ID;OLT;Hora;F/S/P;ONT ID;MAC;CLIENTE;S/N;RX (dBm);TX (dBm);Status;Primária;Secundária;Porta Sec.;Descrição OLT;Mudanças
8804;95;2025-06-16 09:24:27.160021;0/3/4;2;CC:64:A6:24:4F:85;;485754438CBABEBB;-21.36;2.2;online;AF85;AF85-S5;P3;AF85S5 P3;Não
8806;95;2025-06-16 09:24:29.297458;0/3/4;3;7C:C3:85:4E:63:30;;485754434E632F9E;-22.14;2.08;online;A8F85;A8F85-S5;P5;A8F85S5 P5;Não
8115;95;2025-06-12 15:50:04.770748;0/3/5;0;28:A6:DB:7D:33:CF;;48575443B96C2E9A;-20.31;2.24;online;AF81;AF81-S1;P1;AF81S1 P1;Não
8117;95;2025-06-12 15:50:06.958165;0/3/5;1;58:F9:87:87:AD:2C;;485754439445FDB7;-21.55;1.89;online;8f81;8f81-S2;P1;8f81s2 P1;Não
8803;95;2025-06-16 09:24:27.125283;0/3/6;0;A0:8C:F8:D1:85:A6;;48575443D185A593;-22.52;2.25;online;AF94;AF94-S1;P1;AF94S1 P1;Não
8805;95;2025-06-16 09:24:28.666715;0/3/6;1;C0:BF:C0:7A:76:8C;;4857544305AA7D9A;-22.75;2.09;online;AF94;AF94-S1;P2;AF94S1 P2;Não
8807;95;2025-06-16 09:24:32.321000;0/3/6;2;B4:09:31:4A:66:58;;485754432E37AF30;-22.59;2.04;online;AF94;AF94-S1;P3;AF94S1 P3;Não
8808;95;2025-06-16 09:24:35.555178;0/3/7;0;38:EB:47:91:9F:54;;48575443D820EDA3;-21.55;2.24;online;AF95;AF95-S4;P1;AF95S4 P1;Não
8809;95;2025-06-16 09:24:37.118741;0/3/7;1;88:66:39:C3:62:8C;;48575443C3628B95;-20.75;2.05;online;A8F45;A8F45-S5;P1;A8F45S5 P1;Não
8531;95;2025-06-16 09:17:34.905644;0/3/8;0;88:66:39:86:D5:06;;4857544386D50595;-21.48;2.14;online;AF96;AF96-S1;P1;AF96S1 P1;Não
8533;95;2025-06-16 09:17:36.528642;0/3/8;1;FC:1B:D1:65:A4:2F;;485754437D81BEA3;-25.85;2.38;online;AF96;AF96-S1;P2;AF96S1 P2;Não
8536;95;2025-06-16 09:17:38.665248;0/3/8;2;60:9B:B4:A1:5F:F1;;485754437C0648AF;-21.36;1.98;online;8F96;8F96-S5;P1;8F96S5 P1;Não
8538;95;2025-06-16 09:17:40.218131;0/3/8;3;A4:BE:2B:48:4F:3D;;48575443E321089C;-22.29;1.97;online;8F96;8F96-S1;P3;8F96S1 P3;Não
8535;95;2025-06-16 09:17:38.562426;0/3/9;0;88:66:39:A9:B7:D9;;48575443A9B7D895;-21.25;2.36;online;AF97;AF97-S4;P1;AF97S4 P1;Não
8537;95;2025-06-16 09:17:40.109763;0/3/9;1;F0:63:F9:61:0A:B7;;48575443CCBDB19D;-20.41;2.25;online;A8F97;A8F97-S3;P1;A8F97S3 P1;Não
